Russian,Indonesia
и,Dan
в (во),di dalam (di dalam)
не,Bukan
на,pada
я,SAYA
он,Dia
что,Apa
почти	,hampir	
это,Ini
быть ,menjadi 
себя,saya sendiri
весь,semua
они,Mereka
молодой,muda
как,Bagaimana
мы,Kami
к,Ke
у,pada
вы,Anda
этот,ini
за,untuk
тот,Itu
но,Tetapi
ты,Anda
по ,Oleh 
из ,dari 
о,HAI
свой,milikku
так,Jadi
один ,satu 
вот,Di Sini
который,yang
наш,kita
только,hanya
ещё,lagi
от ,dari 
такой,seperti
мочь/с-,bisa bisa-
говорить/по- ,berbicara/berbicara 
никто,bukan siapa-siapa
для ,Untuk 
уже,sudah
знать ,tahu 
нужно,butuh
какой,Yang
когда,Kapan
просто,Hanya
первый,Pertama
сила,kekuatan
его,miliknya
год,tahun
кто,Siapa
дело,kasus
нет,TIDAK
её,dia
очень,Sangat
большой,besar
новый,baru
становиться/стать ,menjadi/menjadi 
работа,Pekerjaan
сейчас,Sekarang
время ,waktu 
человек,Manusia
идти/пойти,pergi pergi
если,Jika
два ,dua 
вопрос,pertanyaan
жизнь ,kehidupan 
вместе,bersama
где,Di mana
каждый,setiap
самый,paling
хотеть/за-,ingin/untuk-
здесь,Di Sini
надо,diperlukan
люди,Rakyat
теперь,Sekarang
дом,rumah
раз,sekali
день ,hari 
или,atau
город,kota
там,di sana
слово,kata
глаз,mata
потом,Kemudian
видеть/у- ,lihat/lihat- 
их,milik mereka
под ,di bawah 
даже,bahkan
думать/по-,berpikir/berpikir
хорошо,Bagus
можно,Bisa
тут,Di Sini
тысяча,ribu
ли,aku
вода,air
сегодня,Hari ini
много ,banyak 
рука,tangan
